title,created,link
"Bubble Developer",сьогодні,https://djinni.co/jobs/567789-bubble-developer/
"Верстальщик HTML, CSS (Senior)",сьогодні,https://djinni.co/jobs/567788-verstal-shchik-html-css-senior-/
"Senior React Engineer (Electron)",сьогодні,https://djinni.co/jobs/567782-senior-react-engineer-electron-/
"Engineering Manager",сьогодні,https://djinni.co/jobs/449462-engineering-manager/
"Technical Artist",сьогодні,https://djinni.co/jobs/555267-technical-artist/
"Unity Technical Artist (GameDev I Office work)",сьогодні,https://djinni.co/jobs/484694-unity-technical-artist-gamedev-i-office-work-/
"Tech/Engineering Lead Developer",сьогодні,https://djinni.co/jobs/517164-tech-engineering-lead-developer/
"System Network Administrator",сьогодні,https://djinni.co/jobs/567781-system-network-administrator/
"QA Engineer",сьогодні,https://djinni.co/jobs/567734-qa-engineer/
"Senior React Native Developer",сьогодні,https://djinni.co/jobs/567779-senior-react-native-developer/
"Проектний менеджер (старт кар'єри)",сьогодні,https://djinni.co/jobs/567778-proektnii-menedzher-start-kar-ieri-/
"Blockchain Manager (Advanced English is a must)",сьогодні,https://djinni.co/jobs/414213-blockchain-manager-advanced-english-is-a-must/
"Network Security Engineer",сьогодні,https://djinni.co/jobs/567776-network-security-engineer/
"SEO Specialist",сьогодні,https://djinni.co/jobs/567775-seo-specialist/
"Game Producer / Product Manager",сьогодні,https://djinni.co/jobs/567773-game-producer-product-manager/
"Адміністратор ERP системи",сьогодні,https://djinni.co/jobs/567772-administrator-erp-sistemi/
"Engineering Manager",сьогодні,https://djinni.co/jobs/556336-engineering-manager/
"Kotlin+React Developer",сьогодні,https://djinni.co/jobs/567770-kotlin-react-developer/
"Operations Director / COO",сьогодні,https://djinni.co/jobs/567752-operations-director-coo/
"Customer Support Agent",сьогодні,https://djinni.co/jobs/567763-customer-support-agent/
"Senior Java Backend Engineer",сьогодні,https://djinni.co/jobs/567761-senior-java-backend-engineer/
"Java Tech Lead",сьогодні,https://djinni.co/jobs/567759-java-tech-lead/
"Senior System Analyst",сьогодні,https://djinni.co/jobs/567758-senior-system-analyst/
"VoIP Engineer",сьогодні,https://djinni.co/jobs/112991-voip-engineer/
"Software Engineer",сьогодні,https://djinni.co/jobs/567756-software-engineer/
"Customer Success Specialist",сьогодні,https://djinni.co/jobs/541658-customer-success-specialist/
"Bitrix Developer (WEB)",сьогодні,https://djinni.co/jobs/488798-bitrix-developer-web-/
"Financial Manager",сьогодні,https://djinni.co/jobs/431976-financial-manager/
"HR-manager/Рекрутер",сьогодні,https://djinni.co/jobs/532078-hr-manager-rekruter/
"Senior Java+Angular Developer",сьогодні,https://djinni.co/jobs/567748-senior-java-angular-developer/
"SMM Manager",сьогодні,https://djinni.co/jobs/292081-smm-manager/
"Менеджер з персоналу з власним авто",сьогодні,https://djinni.co/jobs/567747-menedzher-z-personalu-z-vlasnim-avto/
"Infrastructure Engineer (Linux)",сьогодні,https://djinni.co/jobs/544484-infrastructure-engineer-linux-/
"SEO",сьогодні,https://djinni.co/jobs/552254-seo/
"Senior Software Engineer React",сьогодні,https://djinni.co/jobs/567745-senior-software-engineer-react/
"Front-End Angular Developer",сьогодні,https://djinni.co/jobs/567743-front-end-angular-developer/
"API Support Specialist",сьогодні,https://djinni.co/jobs/567744-api-support-specialist/
"Technical Expert (Java)",сьогодні,https://djinni.co/jobs/556611-technical-expert-java-/
"Risk, fraud manager",сьогодні,https://djinni.co/jobs/567736-risk-fraud-manager/
"Senior Low-Level Engineer",сьогодні,https://djinni.co/jobs/556318-senior-low-level-engineer/
"L2 Support Engineer/Consultant",сьогодні,https://djinni.co/jobs/556688-l2-support-engineer-consultant/
"Senior Technical PM",сьогодні,https://djinni.co/jobs/550606-senior-technical-pm/
"Go Developer",сьогодні,https://djinni.co/jobs/553028-go-developer/
"Аналітик",сьогодні,https://djinni.co/jobs/567730-analitik/
"Security technical writer",сьогодні,https://djinni.co/jobs/567729-security-technical-writer/
"Менеджер з продажу ІТ-послуг",сьогодні,https://djinni.co/jobs/533786-menedzher-z-prodazhu-it-poslug/
"Affiliate Manager",сьогодні,https://djinni.co/jobs/533859-affiliate-manager/
"Аналітик (з налаштування системи)",сьогодні,https://djinni.co/jobs/556518-analitik-z-nalashtuvannia-sistemi-/
"Product Designer",сьогодні,https://djinni.co/jobs/567728-product-designer/
"Students Interviewer",сьогодні,https://djinni.co/jobs/440871-students-interviewer/
"Interviewer",сьогодні,https://djinni.co/jobs/544142-interviewer/
"Coordinator (EdTech company)",сьогодні,https://djinni.co/jobs/556248-coordinator-edtech-company-/
"Аналітик з інцидентів",сьогодні,https://djinni.co/jobs/567726-analitik-z-intsidentiv/
"backend разработка",сьогодні,https://djinni.co/jobs/567716-backend-razrabotka/
"Operations Engineer (Use latest ML tech)",сьогодні,https://djinni.co/jobs/567720-operations-engineer-use-latest-ml-tech-/
"FinOps/AWS Engineer",сьогодні,https://djinni.co/jobs/541584-finops-aws-engineer/
"VIP manager",сьогодні,https://djinni.co/jobs/567724-vip-manager/
"Графічний дизайнер",сьогодні,https://djinni.co/jobs/567723-grafichnii-dizainer/
"Аналітик з впровадження ERP системи",сьогодні,https://djinni.co/jobs/567722-analitik-z-vprovadzhennia-erp-sistemi/
"On-demand IT Recruiter / HR specialist",сьогодні,https://djinni.co/jobs/567719-on-demand-it-recruiter-hr-specialist/
"Java Tech Lead",сьогодні,https://djinni.co/jobs/567713-java-tech-lead/
"QA engineer - Cloud SaaS Platform",вчора,https://djinni.co/jobs/38093-qa-engineer-cloud-saas-platform/
"Product Manager",вчора,https://djinni.co/jobs/567706-product-manager/
"User Acquisition Manager",вчора,https://djinni.co/jobs/567705-user-acquisition-manager/
"Course Producer",вчора,https://djinni.co/jobs/567704-course-producer/
"Chief Technical Officer (CTO)",вчора,https://djinni.co/jobs/567702-chief-technical-officer-cto-/
"Software Development Engineer in Test",вчора,https://djinni.co/jobs/567701-software-development-engineer-in-test/
"Customer Success Engineer",вчора,https://djinni.co/jobs/556109-customer-success-engineer/
"Customer support team lead",вчора,https://djinni.co/jobs/567695-customer-support-team-lead/
"Lead Angular Developer for global product (audit and assurance company BIG FOUR)",вчора,https://djinni.co/jobs/567694-lead-angular-developer-for-global-product-aud/
"Financial Specialist",вчора,https://djinni.co/jobs/567693-financial-specialist/
"Shopify Developer",вчора,https://djinni.co/jobs/567207-shopify-developer/
"Blockchain Solidity Developer",вчора,https://djinni.co/jobs/567691-blockchain-solidity-developer/
"Problem Manager",вчора,https://djinni.co/jobs/567638-problem-manager/
"CTO (Blockchain)",вчора,https://djinni.co/jobs/567685-cto-blockchain-/
"UI/UX Product Designer - Project Basis",вчора,https://djinni.co/jobs/567684-ui-ux-product-designer-project-basis/
"Senior JavaScript Engineer in Architecture Team",вчора,https://djinni.co/jobs/567683-senior-javascript-engineer-in-architecture-te/
"Email (Hubspot) Marketer",вчора,https://djinni.co/jobs/567681-email-hubspot-marketer/
"Customer Support and Operations Manager",вчора,https://djinni.co/jobs/567677-customer-support-and-operations-manager/
"SEO-specialist (Google)",вчора,https://djinni.co/jobs/567674-seo-specialist-google-/
"Senior React Software Engineer",вчора,https://djinni.co/jobs/567673-senior-react-software-engineer/
"HR Generalist",вчора,https://djinni.co/jobs/554237-hr-generalist/
"Senior Software Engineer",вчора,https://djinni.co/jobs/465011-senior-software-engineer/
"HTML/CSS Developer — Project job",вчора,https://djinni.co/jobs/553415-html-css-developer-project-job/
"Sales Partnership Development Manager",вчора,https://djinni.co/jobs/567668-sales-partnership-development-manager/
"CBDO",вчора,https://djinni.co/jobs/567663-cbdo/
"Scrum Master",вчора,https://djinni.co/jobs/567661-scrum-master/
"Senior Delivery Manager",вчора,https://djinni.co/jobs/567656-senior-delivery-manager/
"HR Business Partner",вчора,https://djinni.co/jobs/567647-hr-business-partner/
"Vue.js Developer",вчора,https://djinni.co/jobs/538622-vue-js-developer/
"Senior QA Manual Engineer",вчора,https://djinni.co/jobs/158379-senior-qa-manual-engineer/
"Automation IT Operations Engeneer",вчора,https://djinni.co/jobs/567632-automation-it-operations-engeneer/
"Linux System Software Engineer",вчора,https://djinni.co/jobs/567633-linux-system-software-engineer/
"React / NextJS - Senior Dev",вчора,https://djinni.co/jobs/567631-react-nextjs-senior-dev/
"Lead Vehicle Artist",вчора,https://djinni.co/jobs/567592-lead-vehicle-artist/
"C Developer",вчора,https://djinni.co/jobs/567623-c-developer/
"Front end Developer",вчора,https://djinni.co/jobs/516035-front-end-developer/
"User Acquisition Specialist",вчора,https://djinni.co/jobs/553817-user-acquisition-specialist/
"Employee specialist",вчора,https://djinni.co/jobs/567614-employee-specialist/
"HTML/Markup Developer",вчора,https://djinni.co/jobs/567611-html-markup-developer/
"L2 Support Consultant",вчора,https://djinni.co/jobs/567609-l2-support-consultant/
"Bussines Development Manager",вчора,https://djinni.co/jobs/567608-bussines-development-manager/
"HR Specialist",вчора,https://djinni.co/jobs/567607-hr-specialist/
"Medical doctor, medical support coordinator (Kosice, clinic SPLN)",вчора,https://djinni.co/jobs/567606-medical-doctor-medical-support-coordinator-ko/
"Designer SMM / графічний дизайнер",вчора,https://djinni.co/jobs/567603-designer-smm-grafichnii-dizainer/
"L1 Technical Support Engineer",вчора,https://djinni.co/jobs/567597-l1-technical-support-engineer/
"Recruiter (Рекрутер в освітню компанію)",вчора,https://djinni.co/jobs/567517-recruiter-rekruter-v-osvitniu-kompaniiu-/
"Retention manager for VIP customers",вчора,https://djinni.co/jobs/567575-retention-manager-for-vip-customers/
"Medical coordinator 0.5 position",вчора,https://djinni.co/jobs/567586-medical-coordinator-0-5-position/
"Medical courier(ArkCryo) in Bratislava (Slovakia)",вчора,https://djinni.co/jobs/567583-medical-courier-arkcryo-in-bratislava-slovaki/
"Manager of customer service and cooperation",вчора,https://djinni.co/jobs/567585-manager-of-customer-service-and-cooperation/
"Medical courier ( support ) (ArkCryo) in Bratislava (Slovakia)",вчора,https://djinni.co/jobs/567591-medical-courier-support-arkcryo-in-bratislava/
"QA/QC Engineer",вчора,https://djinni.co/jobs/567594-qa-qc-engineer/
"Android розробник",вчора,https://djinni.co/jobs/323643-android-rozrobnik/
"Bookkeeper (QuickBooks)",вчора,https://djinni.co/jobs/533307-bookkeeper-quickbooks-/
"QA Automation Engineer",вчора,https://djinni.co/jobs/567589-qa-automation-engineer/
"Public Relations (PR) Manager at the company",вчора,https://djinni.co/jobs/567590-public-relations-pr-manager-at-the-company/
"SAP REFX Consultant",вчора,https://djinni.co/jobs/567580-sap-refx-consultant/
"Digital mapping specialist",вчора,https://djinni.co/jobs/567579-digital-mapping-specialist/
"Guidewire QA Engineer",вчора,https://djinni.co/jobs/567578-guidewire-qa-engineer/
"PPC Specialist",вчора,https://djinni.co/jobs/507946-ppc-specialist/
"Business Development Manager (Supply)",вчора,https://djinni.co/jobs/567577-business-development-manager-supply-/
"Engineering Manager",вчора,https://djinni.co/jobs/567574-engineering-manager/
"PPC Specialist",вчора,https://djinni.co/jobs/525939-ppc-specialist/
"Продуктова компанія знаходиться в пошуку Backend AQA Engineer в Польщі",вчора,https://djinni.co/jobs/567573-produktova-kompaniia-znakhodit-sia-v-poshuku-/
"Delivery Manager",вчора,https://djinni.co/jobs/567572-delivery-manager/
"Financial manager (Cyprus)",вчора,https://djinni.co/jobs/519915-financial-manager-cyprus-/
"Payment manager",вчора,https://djinni.co/jobs/533455-payment-manager/
"Motion Designer (GameDev)",вчора,https://djinni.co/jobs/555269-motion-designer-gamedev-/
"Scrum Master",вчора,https://djinni.co/jobs/554458-scrum-master/
"Product manager",вчора,https://djinni.co/jobs/567563-product-manager/
"Motion designer",вчора,https://djinni.co/jobs/567560-motion-designer/
"Android (AOSP) Developer (IRC186519)",вчора,https://djinni.co/jobs/566545-android-aosp-developer-irc186519-/
"Mid Android Software Engineer for Pluto TV",вчора,https://djinni.co/jobs/567557-mid-android-software-engineer-for-pluto-tv/
"Chief Accounting Officer",вчора,https://djinni.co/jobs/567499-chief-accounting-officer/
"C Developer",вчора,https://djinni.co/jobs/567552-c-developer/
"помічник для крипто проектів",вчора,https://djinni.co/jobs/567521-pomichnik-dlia-kripto-proektiv/
"Application Support Engineer (Linux)",вчора,https://djinni.co/jobs/567550-application-support-engineer-linux-/
"IT procurement manager",вчора,https://djinni.co/jobs/567544-it-procurement-manager/
"Recruiter",вчора,https://djinni.co/jobs/249705-recruiter/
"In- house Lawyer",вчора,https://djinni.co/jobs/567539-in-house-lawyer/
"L2 Support Engineer",вчора,https://djinni.co/jobs/567536-l2-support-engineer/
"Senior Front end engineer (ReactJS)",вчора,https://djinni.co/jobs/567535-senior-front-end-engineer-reactjs-/
"Recruiter",вчора,https://djinni.co/jobs/567534-recruiter/
"Embedded developer",вчора,https://djinni.co/jobs/567532-embedded-developer/
"Brand Manager Ovogene",вчора,https://djinni.co/jobs/567522-brand-manager-ovogene/
"Business Developer (Asian markets)",вчора,https://djinni.co/jobs/567519-business-developer-asian-markets-/
"UX Architect - only for candidates who are located in Bucharest",вчора,https://djinni.co/jobs/567518-ux-architect-only-for-candidates-who-are-loca/
"Senior QA Manual Engineer - only for candidates who are located in Bucharest",вчора,https://djinni.co/jobs/567514-senior-qa-manual-engineer-only-for-candidates/
"Маркетинговий аналітик (+презентації)",вчора,https://djinni.co/jobs/567508-marketingovii-analitik-prezentatsiyi-/
"Affiliate manager",вчора,https://djinni.co/jobs/567507-affiliate-manager/
"Scrum Master - only for candidates who are located in Bucharest, Romania",вчора,https://djinni.co/jobs/567509-scrum-master-only-for-candidates-who-are-loca/
"Senior product manager",вчора,https://djinni.co/jobs/532872-senior-product-manager/
"QA Engineer",вчора,https://djinni.co/jobs/567501-qa-engineer/
"Product manager (iGaming)",вчора,https://djinni.co/jobs/420875-product-manager-igaming-/
"Affiliate team lead",вчора,https://djinni.co/jobs/521638-affiliate-team-lead/
"Product manager",вчора,https://djinni.co/jobs/531016-product-manager/
"Customer Support",вчора,https://djinni.co/jobs/567500-customer-support/
"Event Manager",вчора,https://djinni.co/jobs/556037-event-manager/
"Principal React engineer",вчора,https://djinni.co/jobs/567496-principal-react-engineer/
"SharePoint Admin",вчора,https://djinni.co/jobs/567492-sharepoint-admin/
"PPC Specialist",вчора,https://djinni.co/jobs/567490-ppc-specialist/
"Front End (Angular JS) Software Engineer",вчора,https://djinni.co/jobs/567487-front-end-angular-js-software-engineer/
"Experienced Business Development Manager in the Sales Department (IT-field)",вчора,https://djinni.co/jobs/555052-experienced-business-development-manager-in-t/
"Functional Consultant for Microsoft Dynamics 365 BC/NAV",вчора,https://djinni.co/jobs/567483-functional-consultant-for-microsoft-dynamics-/
"C Developer - work only from Poland",вчора,https://djinni.co/jobs/567482-c-developer-work-only-from-poland/
"Affiliate manager",вчора,https://djinni.co/jobs/424569-affiliate-manager/
"Business Development Manager",вчора,https://djinni.co/jobs/567478-business-development-manager/
"Market Intelligence Analyst",вчора,https://djinni.co/jobs/567476-market-intelligence-analyst/
"Regular/Senior BI Engineer",вчора,https://djinni.co/jobs/567477-regular-senior-bi-engineer/
"Senior React Next Java Kotlin Developer",вчора,https://djinni.co/jobs/567473-senior-react-next-java-kotlin-developer/
"Head of Startup Incubator (Startup Foundation)",вчора,https://djinni.co/jobs/567471-head-of-startup-incubator-startup-foundation-/
"Social Media Growth Manager",вчора,https://djinni.co/jobs/567470-social-media-growth-manager/
"PR Brand Manager (GameDev)",вчора,https://djinni.co/jobs/567469-pr-brand-manager-gamedev-/
"Affiliate Manager (Dating)",вчора,https://djinni.co/jobs/567060-affiliate-manager-dating-/
"Product manager",вчора,https://djinni.co/jobs/567467-product-manager/
"Senior ASAM Developer",вчора,https://djinni.co/jobs/567460-senior-asam-developer/
"Content Manager",вчора,https://djinni.co/jobs/567458-content-manager/
"React Native Developer",вчора,https://djinni.co/jobs/567451-react-native-developer/
"Scrum Master (Poland)",вчора,https://djinni.co/jobs/540089-scrum-master-poland-/
"Team Lead React Native",вчора,https://djinni.co/jobs/567450-team-lead-react-native/
"Blockchain Developer",вчора,https://djinni.co/jobs/567446-blockchain-developer/
"Art Director",вчора,https://djinni.co/jobs/567445-art-director/
"React Native Developer",вчора,https://djinni.co/jobs/567443-react-native-developer/
"Техрайтер, фахівець з розробки технічної документації",вчора,https://djinni.co/jobs/567440-tekhraiter-fakhivets-z-rozrobki-tekhnichnoyi-/
"Product manager",вчора,https://djinni.co/jobs/567438-product-manager/
"Power BI developer",вчора,https://djinni.co/jobs/567436-power-bi-developer/
"Executive assist. for CEO",вчора,https://djinni.co/jobs/567428-executive-assist-for-ceo/
"QA Engineer (Manual) (гібридний формат, в подальшому офіс)",вчора,https://djinni.co/jobs/523413-qa-engineer-manual-gibridnii-format-v-podal-s/
"Content Writing Manager",вчора,https://djinni.co/jobs/567423-content-writing-manager/
"Tableau Analyst",вчора,https://djinni.co/jobs/567421-tableau-analyst/
"Regular BI with Data Governance",вчора,https://djinni.co/jobs/567419-regular-bi-with-data-governance/
"Market Intelligence Analyst",вчора,https://djinni.co/jobs/567418-market-intelligence-analyst/
"Mid-level React / React Native Developer - based in Krakow, PL",вчора,https://djinni.co/jobs/567414-mid-level-react-react-native-developer-based-/
"React Native Developer",вчора,https://djinni.co/jobs/567412-react-native-developer/
"Vice President of Engineering",вчора,https://djinni.co/jobs/567408-vice-president-of-engineering/
"Senior Application Security Engineer",вчора,https://djinni.co/jobs/567407-senior-application-security-engineer/
"Senior Algorithms Developer for Corsound AI",вчора,https://djinni.co/jobs/567406-senior-algorithms-developer-for-corsound-ai/
"Engineering Manager for Day.io",вчора,https://djinni.co/jobs/567405-engineering-manager-for-day-io/
"React Native Developer",вчора,https://djinni.co/jobs/567400-react-native-developer/
"Social Media Manager",вчора,https://djinni.co/jobs/567395-social-media-manager/
"Recruiter (food tech)",вчора,https://djinni.co/jobs/567391-recruiter-food-tech-/
"Network Engineer",вчора,https://djinni.co/jobs/567388-network-engineer/
"Embedded С Software Engineer",вчора,https://djinni.co/jobs/567385-embedded-s-software-engineer/
"SMM-менеджер",вчора,https://djinni.co/jobs/553363-smm-menedzher/
"Front-End Tech Lead (B2B only)",вчора,https://djinni.co/jobs/567384-front-end-tech-lead-b2b-only-/
"Social Media Manager",вчора,https://djinni.co/jobs/567383-social-media-manager/
"Backend Tech Lead Java (B2B only)",вчора,https://djinni.co/jobs/567382-backend-tech-lead-java-b2b-only-/
"Erlang Developer",вчора,https://djinni.co/jobs/506544-erlang-developer/
"Dynamics 365 CRM Developer",вчора,https://djinni.co/jobs/567377-dynamics-365-crm-developer/
"Продюсер курсів _ Проджект менеджер освітніх продуктів",вчора,https://djinni.co/jobs/567369-prodiuser-kursiv-_-prodzhekt-menedzher-osvitn/
"Guidewire ClaimCenter developer",вчора,https://djinni.co/jobs/567371-guidewire-claimcenter-developer/
"SMM-Content Manager",вчора,https://djinni.co/jobs/567364-smm-content-manager/
"Content manager",вчора,https://djinni.co/jobs/567374-content-manager/
"Sales",вчора,https://djinni.co/jobs/567368-sales/
"Content manager/SMM",вчора,https://djinni.co/jobs/567366-content-manager-smm/
"PPC Specialist (USA)",вчора,https://djinni.co/jobs/549731-ppc-specialist-usa-/
"QA TeamLead (Thailand)",вчора,https://djinni.co/jobs/567358-qa-teamlead-thailand-/
"Mobile Development Manager (Thailand)",вчора,https://djinni.co/jobs/567361-mobile-development-manager-thailand-/
"Customer Support Manager (USA Market)",вчора,https://djinni.co/jobs/567360-customer-support-manager-usa-market-/
"Promo manager",вчора,https://djinni.co/jobs/565600-promo-manager/
"HR Generalist",вчора,https://djinni.co/jobs/567356-hr-generalist/
"User Acquisition Manager (Appflame)",вчора,https://djinni.co/jobs/567339-user-acquisition-manager-appflame-/
"QA Automation Engineer (JavaScript or Typescript)",вчора,https://djinni.co/jobs/567354-qa-automation-engineer-javascript-or-typescri/
"Data Tech Lead for a big banking project",вчора,https://djinni.co/jobs/567352-data-tech-lead-for-a-big-banking-project/
"AWS Cloud Architect",вчора,https://djinni.co/jobs/567346-aws-cloud-architect/
"Business Development Manager",вчора,https://djinni.co/jobs/567351-business-development-manager/
"Аналітик торгових алгоритмів",вчора,https://djinni.co/jobs/471210-analitik-torgovikh-algoritmiv/
"Email Marketer",вчора,https://djinni.co/jobs/538459-email-marketer/
"Senior Power Platform Engineer",вчора,https://djinni.co/jobs/567345-senior-power-platform-engineer/
"Project-менеджер",вчора,https://djinni.co/jobs/567343-project-menedzher/
"Sales Representative",вчора,https://djinni.co/jobs/567342-sales-representative/
"HTML верстальник",вчора,https://djinni.co/jobs/567340-html-verstal-nik/
"Mid-Level Vue.js Developer",вчора,https://djinni.co/jobs/567337-mid-level-vue-js-developer/
"IoT Engineer(Zigbee)",вчора,https://djinni.co/jobs/496344-iot-engineer-zigbee-/
"Network Engineer",вчора,https://djinni.co/jobs/567330-network-engineer/
"PPC/Acquisition Team Lead",вчора,https://djinni.co/jobs/524273-ppc-acquisition-team-lead/
"Head of Affiliate",вчора,https://djinni.co/jobs/567324-head-of-affiliate/
"Head of Call Center",вчора,https://djinni.co/jobs/567323-head-of-call-center/
"Design Engineer (Catia CAD system)",вчора,https://djinni.co/jobs/508899-design-engineer-catia-cad-system-/
"Customer Support Manager",вчора,https://djinni.co/jobs/567318-customer-support-manager/
"Integration specialist/ Support for integration Mobile SDK",вчора,https://djinni.co/jobs/567314-integration-specialist-support-for-integratio/
"User Acquisition Manager (IT галузь)",вчора,https://djinni.co/jobs/567219-user-acquisition-manager-it-galuz-/
"Фахівець з інформаційних технологій. Підтримка СДО",вчора,https://djinni.co/jobs/537405-fakhivets-z-informatsiinikh-tekhnologii-pidtr/
"SecOps engineer",вчора,https://djinni.co/jobs/567312-secops-engineer/
"Integration developer",вчора,https://djinni.co/jobs/111756-integration-developer/
"Human Resources Manager",вчора,https://djinni.co/jobs/567307-human-resources-manager/
"Partnership Manager (Rare and precious metals, Chinese market)",вчора,https://djinni.co/jobs/567303-partnership-manager-rare-and-precious-metals-/
"Partnership Manager (Rare and precious metals, Central Asia markets)",вчора,https://djinni.co/jobs/567301-partnership-manager-rare-and-precious-metals-/
"Sales and Business Development Manager (Germany, Benelux, Nordic)",вчора,https://djinni.co/jobs/567297-sales-and-business-development-manager-german/
"PPC спеціаліст",вчора,https://djinni.co/jobs/463254-ppc-spetsialist/
"Systems Engineer",вчора,https://djinni.co/jobs/567294-systems-engineer/
"Support Manager (Relocate Turkmenistan)",вчора,https://djinni.co/jobs/567291-support-manager-relocate-turkmenistan-/
"Sales and Business Development Manager (GCC Region)",вчора,https://djinni.co/jobs/554908-sales-and-business-development-manager-gcc-re/
"Sales and Business Development Manager (Israel market)",вчора,https://djinni.co/jobs/554948-sales-and-business-development-manager-israel/
"Sales and Business Development Manager (the US market)",вчора,https://djinni.co/jobs/554951-sales-and-business-development-manager-the-us/
"Senior DSP Software Engineer",вчора,https://djinni.co/jobs/567285-senior-dsp-software-engineer/
"Embedded Software Engineer",вчора,https://djinni.co/jobs/567284-embedded-software-engineer/
"Java Architect(with growth prospects to CTO)",вчора,https://djinni.co/jobs/567279-java-architect-with-growth-prospects-to-cto-/
"Magento Manual QA",вчора,https://djinni.co/jobs/313865-magento-manual-qa/
"Talent Acquisition Partner (Senior)",вчора,https://djinni.co/jobs/545621-talent-acquisition-partner-senior-/
"SMM Specialist",вчора,https://djinni.co/jobs/554585-smm-specialist/
"Network Security Engineer",вчора,https://djinni.co/jobs/567258-network-security-engineer/
"Back Office Specialist (CRM)",вчора,https://djinni.co/jobs/314155-back-office-specialist-crm-/
"Senior Angular Developer",вчора,https://djinni.co/jobs/567253-senior-angular-developer/
"Консультант SAP SF",вчора,https://djinni.co/jobs/555921-konsul-tant-sap-sf/
"Tech Lead",вчора,https://djinni.co/jobs/527567-tech-lead/
"HR Manager",вчора,https://djinni.co/jobs/567251-hr-manager/
"Oracle DB Developer",вчора,https://djinni.co/jobs/567248-oracle-db-developer/
"Oracle DB Developer - work only from Poland",вчора,https://djinni.co/jobs/567244-oracle-db-developer-work-only-from-poland/
"Perception Software Engineer (Relocate to Poland)",вчора,https://djinni.co/jobs/567238-perception-software-engineer-relocate-to-pola/
"Senior Java/Kotlin Developer",вчора,https://djinni.co/jobs/567163-senior-java-kotlin-developer/
"Директор з маркетингу/CMO",вчора,https://djinni.co/jobs/567234-direktor-z-marketingu-cmo/
"Керівник напряму SEO /Head of SEO",вчора,https://djinni.co/jobs/567233-kerivnik-napriamu-seo-head-of-seo/
"Senior React Front - End Developer",вчора,https://djinni.co/jobs/555664-senior-react-front-end-developer/
"Perception Software Engineer (Deep Learning) - wok only from Poland",вчора,https://djinni.co/jobs/567231-perception-software-engineer-deep-learning-wo/
"Principal App Tech Lead (Conversational AI, AWS)",вчора,https://djinni.co/jobs/567229-principal-app-tech-lead-conversational-ai-aws/
